timestamp	system_used_gb	system_available_gb	system_total_gb	system_used_percent	process_rss_gb	process_count
2026-05-12T08:24:43	22.247	103.336	125.583	17.71		0
2026-05-12T08:25:43	31.820	93.764	125.583	25.34		0
2026-05-12T08:26:43	42.916	82.667	125.583	34.17		0
2026-05-12T08:27:43	43.509	82.074	125.583	34.65		0
2026-05-12T08:28:43	52.846	72.737	125.583	42.08		0
2026-05-12T08:29:43	56.223	69.360	125.583	44.77		0
2026-05-12T08:30:43	58.226	67.358	125.583	46.36		0
2026-05-12T08:31:43	55.734	69.850	125.583	44.38		0
2026-05-12T08:32:43	50.544	75.039	125.583	40.25		0
2026-05-12T08:33:43	59.621	65.962	125.583	47.48		0
2026-05-12T08:34:43	59.147	66.436	125.583	47.10		0
2026-05-12T08:35:43	63.196	62.388	125.583	50.32		0
2026-05-12T08:36:43	72.568	53.015	125.583	57.79		0
2026-05-12T08:37:43	71.855	53.728	125.583	57.22		0
2026-05-12T08:38:43	74.551	51.032	125.583	59.36		0
2026-05-12T08:39:43	64.286	61.297	125.583	51.19		0
2026-05-12T08:40:43	73.459	52.124	125.583	58.49		0
2026-05-12T08:41:43	73.149	52.435	125.583	58.25		0
2026-05-12T08:42:43	77.167	48.416	125.583	61.45		0
2026-05-12T08:43:43	85.676	39.907	125.583	68.22		0
2026-05-12T08:44:43	86.568	39.015	125.583	68.93		0
2026-05-12T08:45:43	81.916	43.668	125.583	65.23		0
2026-05-12T08:46:43	84.750	40.833	125.583	67.49		0
2026-05-12T08:47:43	83.836	41.747	125.583	66.76		0
2026-05-12T08:48:43	85.179	40.405	125.583	67.83		0
2026-05-12T08:49:43	86.389	39.194	125.583	68.79		0
2026-05-12T08:50:43	100.510	25.073	125.583	80.03		0
2026-05-12T08:51:43	97.165	28.418	125.583	77.37		0
2026-05-12T08:52:43	92.609	32.974	125.583	73.74		0
2026-05-12T08:53:43	95.686	29.898	125.583	76.19		0
2026-05-12T08:54:43	109.784	15.799	125.583	87.42		0
2026-05-12T08:55:43	99.863	25.721	125.583	79.52		0
2026-05-12T08:56:43	92.748	32.836	125.583	73.85		0
2026-05-12T08:57:43	92.577	33.006	125.583	73.72		0
2026-05-12T08:58:43	110.968	14.616	125.583	88.36		0
2026-05-12T08:59:43	107.095	18.488	125.583	85.28		0
2026-05-12T09:00:43	103.783	21.801	125.583	82.64		0
2026-05-12T09:01:43	122.750	2.833	125.583	97.74		0
2026-05-12T09:02:43	122.973	2.610	125.583	97.92		0
2026-05-12T09:03:43	78.046	47.537	125.583	62.15		0
2026-05-12T09:04:43	75.486	50.097	125.583	60.11		0
2026-05-12T09:05:43	79.212	46.372	125.583	63.07		0
2026-05-12T09:06:43	99.017	26.566	125.583	78.85		0
2026-05-12T09:07:43	98.779	26.805	125.583	78.66		0
2026-05-12T09:08:43	87.230	38.354	125.583	69.46		0
2026-05-12T09:09:43	82.278	43.305	125.583	65.52		0
2026-05-12T09:10:43	75.442	50.142	125.583	60.07		0
2026-05-12T09:11:43	37.953	87.630	125.583	30.22		0
2026-05-12T09:12:43	72.785	52.798	125.583	57.96		0
2026-05-12T09:13:43	101.430	24.153	125.583	80.77		0
2026-05-12T09:14:43	106.947	18.636	125.583	85.16		0
2026-05-12T09:15:43	117.603	7.980	125.583	93.65		0
2026-05-12T09:16:43	123.621	1.963	125.583	98.44		0
2026-05-12T09:17:43	124.409	1.174	125.583	99.07		0
2026-05-12T09:18:43	124.982	0.602	125.583	99.52		0
2026-05-12T09:19:43	124.985	0.598	125.583	99.52		0
2026-05-12T09:20:43	17.012	108.572	125.583	13.55		0
2026-05-12T09:21:43	23.007	102.577	125.583	18.32		0
2026-05-12T09:22:43	23.268	102.315	125.583	18.53		0
2026-05-12T09:23:43	29.350	96.233	125.583	23.37		0
2026-05-12T09:24:43	29.306	96.278	125.583	23.34		0
2026-05-12T09:25:43	32.242	93.341	125.583	25.67		0
2026-05-12T09:26:43	35.346	90.238	125.583	28.15		0
2026-05-12T09:27:43	35.800	89.783	125.583	28.51		0
2026-05-12T09:28:43	39.119	86.464	125.583	31.15		0
2026-05-12T09:29:43	42.252	83.331	125.583	33.64		0
2026-05-12T09:30:43	44.389	81.194	125.583	35.35		0
2026-05-12T09:31:43	47.267	78.316	125.583	37.64		0
2026-05-12T09:32:43	48.653	76.931	125.583	38.74		0
2026-05-12T09:33:43	52.111	73.472	125.583	41.50		0
2026-05-12T09:34:43	53.047	72.536	125.583	42.24		0
2026-05-12T09:35:43	54.748	70.836	125.583	43.59		0
2026-05-12T09:36:43	57.340	68.243	125.583	45.66		0
2026-05-12T09:37:43	54.438	71.145	125.583	43.35		0
2026-05-12T09:38:43	67.270	58.314	125.583	53.57		0
2026-05-12T09:39:43	23.730	101.853	125.583	18.90		0
2026-05-12T09:40:43	24.920	100.663	125.583	19.84		0
2026-05-12T09:41:43	17.815	107.768	125.583	14.19		0
2026-05-12T09:42:43	16.890	108.693	125.583	13.45		0
